yueyiran@DESKTOP-OHHDFET:/mnt/c/Users/lenovo/final-src-osc10e/final-src-osc10e/ch10$ sh test.sh
Compiling
Running vm
Comparing with correct.txt
1,1000c1,1000
< Virtual_Address: 26699, Physical_Address: 42571, Value: 18
< Virtual_Address: 51188, Physical_Address: 42996, Value: 0
< Virtual_Address: 59519, Physical_Address: 25983, Value: 31
< Virtual_Address: 7345, Physical_Address: 43185, Value: 0
< Virtual_Address: 20325, Physical_Address: 16741, Value: 0
< Virtual_Address: 39633, Physical_Address: 43473, Value: 0
< Virtual_Address: 1562, Physical_Address: 43546, Value: 1
< Virtual_Address: 7580, Physical_Address: 6300, Value: 0
< Virtual_Address: 8170, Physical_Address: 34026, Value: 7
< Virtual_Address: 62256, Physical_Address: 23856, Value: 0
< Virtual_Address: 35823, Physical_Address: 44015, Value: -5
< Virtual_Address: 27790, Physical_Address: 44174, Value: 27
< Virtual_Address: 13191, Physical_Address: 44423, Value: -31
< Virtual_Address: 9772, Physical_Address: 44588, Value: 0
< Virtual_Address: 7477, Physical_Address: 6197, Value: 0
< Virtual_Address: 44455, Physical_Address: 44967, Value: 105
< Virtual_Address: 59546, Physical_Address: 26010, Value: 58
< Virtual_Address: 49347, Physical_Address: 8643, Value: 48
< Virtual_Address: 36539, Physical_Address: 14523, Value: -82
< Virtual_Address: 12453, Physical_Address: 45221, Value: 0
< Virtual_Address: 49640, Physical_Address: 45544, Value: 0
< Virtual_Address: 28290, Physical_Address: 34946, Value: 27
< Virtual_Address: 44817, Physical_Address: 13073, Value: 0
< Virtual_Address: 8565, Physical_Address: 20085, Value: 0
< Virtual_Address: 16399, Physical_Address: 45583, Value: 3
< Virtual_Address: 41934, Physical_Address: 38862, Value: 40
< Virtual_Address: 45457, Physical_Address: 45969, Value: 0
< Virtual_Address: 33856, Physical_Address: 42048, Value: 0
< Virtual_Address: 19498, Physical_Address: 22570, Value: 19
< Virtual_Address: 17661, Physical_Address: 41213, Value: 0
< Virtual_Address: 63829, Physical_Address: 21845, Value: 0
< Virtual_Address: 42034, Physical_Address: 46130, Value: 41
< Virtual_Address: 28928, Physical_Address: 16384, Value: 0
< Virtual_Address: 30711, Physical_Address: 16375, Value: -3
< Virtual_Address: 8800, Physical_Address: 46432, Value: 0
< Virtual_Address: 52335, Physical_Address: 46703, Value: 27
< Virtual_Address: 38775, Physical_Address: 46967, Value: -35
< Virtual_Address: 52704, Physical_Address: 30176, Value: 0
< Virtual_Address: 24380, Physical_Address: 1596, Value: 0
< Virtual_Address: 19602, Physical_Address: 22674, Value: 19
< Virtual_Address: 57998, Physical_Address: 3214, Value: 56
< Virtual_Address: 2919, Physical_Address: 11623, Value: -39
< Virtual_Address: 8362, Physical_Address: 47274, Value: 8
< Virtual_Address: 17884, Physical_Address: 9948, Value: 0
< Virtual_Address: 45737, Physical_Address: 7849, Value: 0
< Virtual_Address: 47894, Physical_Address: 25622, Value: 46
< Virtual_Address: 59667, Physical_Address: 47379, Value: 68
< Virtual_Address: 10385, Physical_Address: 14737, Value: 0
< Virtual_Address: 52782, Physical_Address: 47662, Value: 51
< Virtual_Address: 64416, Physical_Address: 5024, Value: 0
< Virtual_Address: 40946, Physical_Address: 8434, Value: 39
< Virtual_Address: 16778, Physical_Address: 48010, Value: 16
< Virtual_Address: 27159, Physical_Address: 28695, Value: -123
< Virtual_Address: 24324, Physical_Address: 1540, Value: 0
< Virtual_Address: 32450, Physical_Address: 7106, Value: 31
< Virtual_Address: 9108, Physical_Address: 48276, Value: 0
< Virtual_Address: 65305, Physical_Address: 30489, Value: 0
< Virtual_Address: 19575, Physical_Address: 22647, Value: 29
< Virtual_Address: 11117, Physical_Address: 40045, Value: 0
< Virtual_Address: 65170, Physical_Address: 48530, Value: 63
< Virtual_Address: 58013, Physical_Address: 3229, Value: 0
< Virtual_Address: 61676, Physical_Address: 23276, Value: 0
< Virtual_Address: 63510, Physical_Address: 28182, Value: 62
< Virtual_Address: 17458, Physical_Address: 41010, Value: 17
< Virtual_Address: 54675, Physical_Address: 48787, Value: 100
< Virtual_Address: 1713, Physical_Address: 43697, Value: 0
< Virtual_Address: 55105, Physical_Address: 5185, Value: 0
< Virtual_Address: 65321, Physical_Address: 30505, Value: 0
< Virtual_Address: 45278, Physical_Address: 49118, Value: 44
< Virtual_Address: 26256, Physical_Address: 49296, Value: 0
< Virtual_Address: 64198, Physical_Address: 4550, Value: 62
< Virtual_Address: 29441, Physical_Address: 49409, Value: 0
< Virtual_Address: 1928, Physical_Address: 33160, Value: 0
< Virtual_Address: 39425, Physical_Address: 43265, Value: 0
< Virtual_Address: 32000, Physical_Address: 49664, Value: 0
< Virtual_Address: 28549, Physical_Address: 28037, Value: 0
< Virtual_Address: 46295, Physical_Address: 50135, Value: 53
< Virtual_Address: 22772, Physical_Address: 3060, Value: 0
< Virtual_Address: 58228, Physical_Address: 34164, Value: 0
< Virtual_Address: 63525, Physical_Address: 28197, Value: 0
< Virtual_Address: 32602, Physical_Address: 9562, Value: 31
< Virtual_Address: 46195, Physical_Address: 50035, Value: 28
< Virtual_Address: 55849, Physical_Address: 34601, Value: 0
< Virtual_Address: 46454, Physical_Address: 50294, Value: 45
< Virtual_Address: 7487, Physical_Address: 6207, Value: 79
< Virtual_Address: 33879, Physical_Address: 42071, Value: 21
< Virtual_Address: 42004, Physical_Address: 46100, Value: 0
< Virtual_Address: 8599, Physical_Address: 20119, Value: 101
< Virtual_Address: 18641, Physical_Address: 5585, Value: 0
< Virtual_Address: 49015, Physical_Address: 50551, Value: -35
< Virtual_Address: 26830, Physical_Address: 42702, Value: 26
< Virtual_Address: 34754, Physical_Address: 18114, Value: 33
< Virtual_Address: 14668, Physical_Address: 33356, Value: 0
< Virtual_Address: 38362, Physical_Address: 20442, Value: 37
< Virtual_Address: 38791, Physical_Address: 46983, Value: -31
< Virtual_Address: 4171, Physical_Address: 50763, Value: 18
< Virtual_Address: 45975, Physical_Address: 51095, Value: -27
< Virtual_Address: 14623, Physical_Address: 33311, Value: 71
< Virtual_Address: 62393, Physical_Address: 23993, Value: 0
< Virtual_Address: 64658, Physical_Address: 6546, Value: 63
< Virtual_Address: 10963, Physical_Address: 12499, Value: -76
< Virtual_Address: 9058, Physical_Address: 48226, Value: 8
< Virtual_Address: 51031, Physical_Address: 42839, Value: -43
< Virtual_Address: 32425, Physical_Address: 7081, Value: 0
< Virtual_Address: 45483, Physical_Address: 45995, Value: 106
< Virtual_Address: 44611, Physical_Address: 11075, Value: -112
< Virtual_Address: 63664, Physical_Address: 28336, Value: 0
< Virtual_Address: 54920, Physical_Address: 3720, Value: 0
< Virtual_Address: 7663, Physical_Address: 6383, Value: 123
< Virtual_Address: 56480, Physical_Address: 51360, Value: 0
< Virtual_Address: 1489, Physical_Address: 51665, Value: 0
< Virtual_Address: 28438, Physical_Address: 27926, Value: 27
< Virtual_Address: 65449, Physical_Address: 30633, Value: 0
< Virtual_Address: 12441, Physical_Address: 45209, Value: 0
< Virtual_Address: 58530, Physical_Address: 15522, Value: 57
< Virtual_Address: 63570, Physical_Address: 28242, Value: 62
< Virtual_Address: 26251, Physical_Address: 49291, Value: -94
< Virtual_Address: 15972, Physical_Address: 21092, Value: 0
< Virtual_Address: 35826, Physical_Address: 44018, Value: 34
< Virtual_Address: 5491, Physical_Address: 21619, Value: 92
< Virtual_Address: 54253, Physical_Address: 51949, Value: 0
< Virtual_Address: 49655, Physical_Address: 45559, Value: 125
< Virtual_Address: 5868, Physical_Address: 52204, Value: 0
< Virtual_Address: 20163, Physical_Address: 40643, Value: -80
< Virtual_Address: 51079, Physical_Address: 42887, Value: -31
< Virtual_Address: 21398, Physical_Address: 9110, Value: 20
< Virtual_Address: 32756, Physical_Address: 9716, Value: 0
< Virtual_Address: 64196, Physical_Address: 4548, Value: 0
< Virtual_Address: 43218, Physical_Address: 17618, Value: 42
< Virtual_Address: 21583, Physical_Address: 52303, Value: 19
< Virtual_Address: 25086, Physical_Address: 52734, Value: 24
< Virtual_Address: 45515, Physical_Address: 46027, Value: 114
< Virtual_Address: 12893, Physical_Address: 30301, Value: 0
< Virtual_Address: 22914, Physical_Address: 52866, Value: 22
< Virtual_Address: 58969, Physical_Address: 14937, Value: 0
< Virtual_Address: 20094, Physical_Address: 40574, Value: 19
< Virtual_Address: 13730, Physical_Address: 53154, Value: 13
< Virtual_Address: 44059, Physical_Address: 53275, Value: 6
< Virtual_Address: 28931, Physical_Address: 16387, Value: 64
< Virtual_Address: 13533, Physical_Address: 36317, Value: 0
